,Timestamp,Kategori Anda,Kategori Umur Anda,CaRek Pilihan,Alasan Memilih CaRek,Harapan Anda
30,9/1/2019 14:03:31,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Program ybs utk peningkatan income dan kesejahteraan dosen / pegawai,
31,9/1/2019 14:03:36,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Kemajuan ITB yang dapat lebih baik
32,9/1/2019 14:03:44,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
33,9/1/2019 14:03:46,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),
34,9/1/2019 14:04:00,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Muda dan berenergi,Kampus ini bisa menerapkan Data Scientis
35,9/1/2019 14:04:05,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,
36,9/1/2019 14:04:34,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),"Emansipasi, kesetaraan dan kebhinekaan",
37,9/1/2019 14:06:11,Alumni,> 40 th,Acep Purqon (FMIPA-FI),Sesuai dengan kriteria kekinian (Rektor 4.0),Bawa ITB menjadi PT yg berkelas dan berkarakter.
38,9/1/2019 14:07:08,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,
39,9/1/2019 14:07:24,Alumni,25 - 40 th,Tutuka Ariaji (FTTM-TM),Keberhasilan dan prestasi,
40,9/1/2019 14:07:37,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,Dapat membawa ITB menjadi universitas yang paling terbaik dalam riset dan entrepreneurship
41,9/1/2019 14:08:28,Dosen,25 - 40 th,Khairurrijal (FMIPA-FI),Keberhasilan dan prestasi,
42,9/1/2019 14:10:01,Alumni,25 - 40 th,Acep Purqon (FMIPA-FI),"Mendatangkan dana riset dan kerjasama eksternal, dalam dan luar negeri","Dengan Rektor yang baru diharapkan meningkatnya kerja sama dengan Universitas Luar Negeri pada bidang riset dan Dana Bantuan Riset terhadap akademisi kampus. Sehingga juga terciptanya pertukaran Teknologi Negara Luar terhadap Indonesia menjadi lebih mudah dan fleksibel, dikarenakan Kampus menjadi garda terdepan bagi Ilmu Pengetahuan Negara RI."
43,9/1/2019 14:12:24,Mahasiswa,< 25 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk meningkatkan ranking ITB,Semoga rektor yang terpilih dapat sangat bersahabat dengan mahasiswa dan menjadi solusi atas permasalahan yang banyak dikeluhkan oleh mahasiswa itu sendiri. 
44,9/1/2019 14:12:31,Mahasiswa,< 25 th,Sigit Puji Santosa (FTMD),Kapabilitas ybs utk meningkatkan ranking ITB,.
45,9/1/2019 14:14:20,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,Semoga riset ITB berkembang pesat dan ada fasilitas alumni bisa bergabung juga di ITB Techno Park
47,9/1/2019 14:15:41,Mahasiswa,25 - 40 th,Khairurrijal (FMIPA-FI),Kapabilitas ybs utk meningkatkan ranking ITB,
48,9/1/2019 14:16:14,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Karakter kepemimpinan dan leadership,
49,9/1/2019 14:16:22,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,
50,9/1/2019 14:16:44,Alumni,< 25 th,Mikrajuddin Abdullah (FMIPA-FI),Tipe yg futuristik dan outside-the-box yg bisa menangkap peluang masa depan,
51,9/1/2019 14:22:37,Mahasiswa,25 - 40 th,Acep Purqon (FMIPA-FI),Kecerdasan dan keberanian utk kemajuan ITB,
52,9/1/2019 14:28:12,Alumni,< 25 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk meningkatkan ranking ITB,-
53,9/1/2019 14:29:47,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Keberhasilan dan prestasi,Indonesia mendunia...
54,9/1/2019 14:29:24,Umum,25 - 40 th,Acep Purqon (FMIPA-FI),Kapabilitas ybs utk memajukan riset dan industri RI,
